,id,text,predictions,prompt,output,questions,question
10,10,how do i sign up for a new allstatedplan,order;new_card,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: order Option 2: new card Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: order Option 2: new card Question: I understand you need a new card. Was it an order for a new card or a new card itself? **END** Set 4: Option 1: cancelled Option 2: postponed Question: I understand you need to cancel or postpone your order,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you need a new card. Was it an order for a new card or a new card itself? ; I understand you need to cancel or postpone your order,I understand you need a new card. Was it an order for a new card or a new card itself?
11,11,where the bleep did i put my bleeping phone,find_phone;sync_device,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: find phone Option 2: sync device Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: find phone Option 2: sync device Question: I'm sorry, I didn't understand your question. Could you please repeat it? **END** Option 3: find phone Option 4: sync device Question: I'm sorry, I didn't understand your question. Could you please repeat it? **END**","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I'm sorry, I didn't understand your question. Could you please repeat it? ; I'm sorry, I didn't understand your question. Could you please repeat it?","I'm sorry, I didn't understand your question. Could you please repeat it?"
12,12,how do i get help with a vacation itinerary,pto_request;pto_request_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question: Option 1: pto request Option 2: pto request status Question: I understand you are requesting PTO. Is it a request or the status of your request? **END** Option 1: pto request Option 2: pto request status,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: pto request Option 2: pto request status ; I understand you are requesting PTO. Is it a request or the status of your request?,Option 1: pto request Option 2: pto request status
13,13,vacation request information,pto_request;pto_request_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question: Option 1: pto request Option 2: pto request status Question: I understand you are requesting PTO. Is it a request or the status of your request? **END** Option 1: pto request Option 2: pto request status,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: pto request Option 2: pto request status ; I understand you are requesting PTO. Is it a request or the status of your request?,Option 1: pto request Option 2: pto request status
14,14,vacation request please,pto_request;pto_request_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: pto request Option 2: pto request status Question: Option 1: pto request Option 2: pto request status Question: I understand you are requesting PTO. Is it a request or the status of your request? **END** Option 1: pto request Option 2: pto request status,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: pto request Option 2: pto request status ; I understand you are requesting PTO. Is it a request or the status of your request?,Option 1: pto request Option 2: pto request status
15,15,how can i contribute to my credit score,improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
16,16,i want to know how i can build up a good credit score,improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
17,17,"""when the credit score improve",improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
18,18,i have a revolving store card and defaulted so will my fico score be affected,report_lost_card;improve_credit_score;expiration_date;card_declined;report_fraud;damaged_card;apr,,,,
19,19,if i lose my job will my credit score go down,improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
20,20,will only having five late payments really make my credit bad,improve_credit_score;credit_score,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: improve credit score Option 2: credit score Question: I understand you want to improve your credit score. What is your current credit score? **END** Set 4: Option 1: credit report Option 2: credit score Question: I understand you want to check your credit report. Do you also want to check your credit,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you want to improve your credit score. What is your current credit score? ; I understand you want to check your credit report. Do you also want to check your credit,I understand you want to improve your credit score. What is your current credit score?
21,21,i want to learn something about apples,recipe;fun_fact,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: fun fact Question:,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: recipe Option 2: fun fact Question: I'm sorry, I didn't catch that. Could you please repeat the options? **END** Set 4: Option 1: no internet Option 2: slow internet Question: I'm sorry, I didn't catch that. Could you please","I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I'm sorry, I didn't catch that. Could you please repeat the options? ; I'm sorry, I didn't catch that. Could you please","I'm sorry, I didn't catch that. Could you please repeat the options?"
22,22,can you tell me the date of my last check,transactions;payday,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: payday Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: transactions Option 2: payday Question: I understand you are having issues with your payday. Was it about transactions or payday? **END** Set 4: Option 1: bank account Option 2: credit card Question: I understand you are having issues with your bank account. Was it about your,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you are having issues with your payday. Was it about transactions or payday? ; I understand you are having issues with your bank account. Was it about your,I understand you are having issues with your payday. Was it about transactions or payday?
23,23,what day will i earn my payment from work,bill_due;payday,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question: I understand you have a bill due. Is it due today or on payday? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which one is it?,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have a bill due. Is it due today or on payday? ; I understand your card has expired or been blocked. Which one is it?,I understand you have a bill due. Is it due today or on payday?
24,24,what day can i expect to receive payment on,bill_due;payday,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question: I understand you have a bill due. Is it due today or on payday? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which one is it?,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have a bill due. Is it due today or on payday? ; I understand your card has expired or been blocked. Which one is it?,I understand you have a bill due. Is it due today or on payday?
25,25,when will my payment be deposited,bill_due;payday,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: payday Question: I understand you have a bill due. Is it due today or on payday? **END** Set 4: Option 1: card expired Option 2: card blocked Question: I understand your card has expired or been blocked. Which one is it?,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; I understand you have a bill due. Is it due today or on payday? ; I understand your card has expired or been blocked. Which one is it?,I understand you have a bill due. Is it due today or on payday?
26,26,can you call the help desk line for my credit card company,make_call;routing;find_phone;new_card,,,,
27,27,what's the phone number for my credit card company,make_call;routing;find_phone,"Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: make call Option 2: routing Option 3: find phone Question:","Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Option 3: card stolen Question: I understand this was about you card. Was is swallowed, not working or stolen? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Option 3: pending transfer Question: I see you are having issues with your transfer. Was your transfer failed, declined or pending? **END** Set 3: Option 1: make call Option 2: routing Option 3: find phone Question: I'm sorry, I didn't understand your question. Could you please repeat it? **END** Option 1: call Option 2: routing Option 3: find phone Question: I'm sorry","I understand this was about you card. Was is swallowed, not working or stolen? ; I see you are having issues with your transfer. Was your transfer failed, declined or pending? ; I'm sorry, I didn't understand your question. Could you please repeat it? ; I'm sorry","I'm sorry, I didn't understand your question. Could you please repeat it?"
28,28,what is the shipping status of my replacement card,replacement_card_duration;application_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: replacement card duration Option 2: application status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: replacement card duration Option 2: application status Question: Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application. Question: **END** Set 4: Option 1: card expiration date Option 2: card issue date Question,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application. ;,Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application.
29,29,is my replacement card due to arrive in the mail today,replacement_card_duration;application_status,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: replacement card duration Option 2: application status Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: replacement card duration Option 2: application status Question: Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application. Question: **END** Set 4: Option 1: card expiration date Option 2: card issue date Question,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application. ;,Option 1: I need to know the duration of my replacement card. Option 2: I need to know the status of my application.
30,30,what is the shipping time for my card,expiration_date;bill_due;replacement_card_duration;application_status,,,,
31,31,time to order and receive a new credit card,expiration_date;replacement_card_duration;new_card;application_status;order_checks,,,,
32,32,time to replace my credit card,expiration_date;card_declined;damaged_card;replacement_card_duration;application_status,,,,
33,33,what is the shipping wait for my card,bill_due;replacement_card_duration,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: replacement card duration Question:,Complete each set with a disambiguation question. Set 1: Option 1: card not working Option 2: card swallowed Question: I understand this was about you card. Was is swallowed or not working? **END** Set 2: Option 1: declined transfer Option 2: failed transfer Question: I see you are having issues with your transfer. Was your transfer failed or declined? **END** Set 3: Option 1: bill due Option 2: replacement card duration Question: Option 1: I understand you need a new card. How long will it take to receive your replacement card? **END** Option 2: I understand your bill is due. When is your bill due? **END** Option 3: I understand you need a new card.,I understand this was about you card. Was is swallowed or not working? ; I see you are having issues with your transfer. Was your transfer failed or declined? ; Option 1: I understand you need a new card. How long will it take to receive your replacement card?,Option 1: I understand you need a new card. How long will it take to receive your replacement card?
34,34,how soon can i expect a replacement card for my lost card to arrive,report_lost_card;damaged_card;replacement_card_duration;application_status,,,,
35,35,tell time for another city: dallas,time;traffic;timer;distance;flight_status;how_busy;next_song,,,,
36,36,ai answer my questions with my name first which is deb,user_name;change_ai_name;what_is_your_name;change_user_name,,,,
